Region,Code,Year,Type,Value
Southern Asia,,2021,Fish and seafood,18
Southern Asia,,2021,Sugar crops,12
Southern Asia,,2021,Sugar & sweeteners,197
Southern Asia,,2021,Starchy roots,58
Southern Asia,,2021,"Meat, other",0.05
Southern Asia,,2021,"Meat, sheep and goat",4.76
Southern Asia,,2021,"Meat, pig",1.13
Southern Asia,,2021,"Meat, poultry",15.45
Southern Asia,,2021,"Meat, beef",11.36
Southern Asia,,2021,Eggs,15
Southern Asia,,2021,Milk,189
Southern Asia,,2021,Nuts,8.68
Southern Asia,,2021,Fruit,84
Southern Asia,,2021,Vegetables,66
Southern Asia,,2021,Pulses,112
Southern Asia,,2021,Cereals,
Southern Asia,,2021,Other,
Southern Asia,,2021,Barley,4.85
Southern Asia,,2021,Maize,48.64
Southern Asia,,2021,Rice,674.21
Southern Asia,,2021,Wheat,593.9
Southern Europe,,2020,Miscellaneous,4
Southern Europe,,2020,Alcoholic beverages,152
Southern Europe,,2020,Animal fats,126
Southern Europe,,2020,Vegetable oils,638
Southern Europe,,2020,Oilcrops,37
Southern Europe,,2020,Fish and seafood,56
Southern Europe,,2020,Sugar crops,0
Southern Europe,,2020,Sugar & sweeteners,308
Southern Europe,,2020,Starchy roots,90
Southern Europe,,2020,"Meat, other",3.82
Southern Europe,,2020,"Meat, sheep and goat",11.44
Southern Europe,,2020,"Meat, pig",163.25
Southern Europe,,2020,"Meat, poultry",92.65
Southern Europe,,2020,"Meat, beef",67.45
Southern Europe,,2020,Eggs,42
Southern Europe,,2020,Milk,357
Southern Europe,,2020,Nuts,59.97
Southern Europe,,2020,Fruit,160
Southern Europe,,2020,Vegetables,78
Southern Europe,,2020,Pulses,50
Southern Europe,,2020,Cereals,
Southern Europe,,2020,Other,
Southern Europe,,2020,Barley,5.63
Southern Europe,,2020,Maize,40.78
Southern Europe,,2020,Rice,60.91
Southern Europe,,2020,Wheat,833.17
Southern Europe,,2021,Miscellaneous,5
Southern Europe,,2021,Alcoholic beverages,146
Southern Europe,,2021,Animal fats,126
Southern Europe,,2021,Vegetable oils,630
Southern Europe,,2021,Oilcrops,40
Southern Europe,,2021,Fish and seafood,57
Southern Europe,,2021,Sugar crops,0
Southern Europe,,2021,Sugar & sweeteners,311
Southern Europe,,2021,Starchy roots,92
Southern Europe,,2021,"Meat, other",4.35
Southern Europe,,2021,"Meat, sheep and goat",11.32
Southern Europe,,2021,"Meat, pig",172.73
Southern Europe,,2021,"Meat, poultry",91.27
Southern Europe,,2021,"Meat, beef",68.6
Southern Europe,,2021,Eggs,42
Southern Europe,,2021,Milk,360
Southern Europe,,2021,Nuts,55.56
Southern Europe,,2021,Fruit,156
Southern Europe,,2021,Vegetables,87
Southern Europe,,2021,Pulses,49
Southern Europe,,2021,Cereals,
Southern Europe,,2021,Other,
Southern Europe,,2021,Barley,5.61
Southern Europe,,2021,Maize,42.71
Southern Europe,,2021,Rice,61.07
Southern Europe,,2021,Wheat,849.78
Western Africa,,2020,Miscellaneous,4
Western Africa,,2020,Alcoholic beverages,21
Western Africa,,2020,Animal fats,9
Western Africa,,2020,Vegetable oils,250
Western Africa,,2020,Oilcrops,127
Western Africa,,2020,Fish and seafood,22
Western Africa,,2020,Sugar crops,2
Western Africa,,2020,Sugar & sweeteners,98
Western Africa,,2020,Starchy roots,566
Western Africa,,2020,"Meat, other",5.43
Western Africa,,2020,"Meat, sheep and goat",9.02
Western Africa,,2020,"Meat, pig",12.83
Western Africa,,2020,"Meat, poultry",13.55
Western Africa,,2020,"Meat, beef",13.55
Western Africa,,2020,Eggs,7
Western Africa,,2020,Milk,27
Western Africa,,2020,Nuts,3.56
Western Africa,,2020,Fruit,96
Western Africa,,2020,Vegetables,53
Western Africa,,2020,Pulses,110
Western Africa,,2020,Cereals,
Western Africa,,2020,Other,
